question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
What do you test interfaces with a trust boundary?,신뢰 경계가 있는 인터페이스를 테스트하는 방법은 무엇인가요?,"With lots of different inputs, including random inputs to ensure that the system can handle or appropriately error out, not crash.",시스템이 충돌하지 않고 처리하거나 적절하게 오류를 범할 수 있도록 하는 무작위 입력을 포함하여 다양한 입력을 제공합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What Python flag turns on optimizations and removes assertions from code?,최적화를 켜고 코드에서 어설션을 제거하는 파이썬 플래그는 무엇인가요?,python -O,파이썬 -O,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Why is doing work in a constructor a bad thing?,건설업자가 일을 하는 것이 나쁜 이유는 무엇인가요?,It can make your code harder to test.,코드 테스트가 더 어려워질 수 있습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What should be avoided to ensure testing is easier/possible?,테스트가 더 쉬우거나 가능하도록 하기 위해 피해야 할 것은 무엇인가요?,"- static methods and properties
- final keyword
- use of new in methods (use dependency injection)","- 정적 방법 및 속성
- 최종 키워드
- 새로운 방법의 사용(의존성 주입 사용)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is another name for a setter?,세터의 다른 이름은 무엇인가요?,A mutator,돌연변이,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is another name for a getter?,게터의 다른 이름은 무엇인가요?,An accessor.,액세서리.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are some guidelines to keep in mind to not violate the dependency inversion principle?,종속성 역전 원칙을 위반하지 않기 위해 염두에 두어야 할 몇 가지 지침은 무엇인가요?,"- No variable should have a concrete class type. An abstract type is better.
- No class should derive from a concrete class.
- No method should override an implemented method of any of its base classes.

These are guidelines and may not be feasible all the time.","- 어떤 변수에도 구체적인 클래스 유형이 없어야 합니다. 추상적인 유형이 더 좋습니다.
- 어떤 클래스도 구체적인 클래스에서 파생되어서는 안 됩니다.
- 어떤 메서드도 기본 클래스의 구현된 메서드를 무시해서는 안 됩니다.

이것들은 지침이며 항상 실행 가능하지 않을 수도 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is another name for O(2^n)?,O(2^n)의 다른 이름은 무엇인가요?,Exponential growth,기하급수적 성장,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is another name for O(n^4)?,O(n^4)의 다른 이름은 무엇인가요?,Quartic growth,사분위수 성장,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does big-O mean? (briefly),big-O는 무슨 뜻인가요? (간단히),"It never gets as big as this.
Growth will never be slower as this.","이렇게 커질 일은 없어요.
성장은 결코 이렇게 느리지 않을 것입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does big-Omega mean? (briefly),Big-O메가는 무슨 뜻인가요? (간단히),"It's at least as big as this.
Growth will never be slower as this.","적어도 이것만큼 커요.
성장은 결코 이렇게 느리지 않을 것입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a trap/exception?,함정/예외란 무엇인가요?,A special instruction that a program performs to interrupt the process and give control to the kernel.,프로그램이 프로세스를 중단하고 커null을 제어하기 위해 수행하는 특별한 명령입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does the scheduler do?,스케줄러는 무엇을 하나요?,Schedulers are special system software which handles process scheduling in various ways. Their main task is to select the jobs to be submitted into the system and to decide which process to run.,스케줄러는 프로세스 스케줄링을 다양한 방식으로 처리하는 특수 시스템 소프트웨어입니다. 이들의 주요 업무는 시스템에 제출할 작업을 선택하고 실행할 프로세스를 결정하는 것입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the 2 hardware modes?,두 가지 하드웨어 모드는 무엇인가요?,kernel mode and user mode,커널 모드 및 사용자 모드,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a PCB and what does it have?,PCB란 무엇이며 무엇을 포함하나요?,Process control block - It holds a complete snapshot of the state of the process.,프로세스 제어 블록 - 프로세스 상태의 전체 snapshot을 저장합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is stored in a TCB?,TCB에는 무엇이 저장되나요?,"registers
program counter
stack counter","레지스터
프로그램 카운터
스택 카운터",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is separate chaining?,별도의 연쇄란 무엇인가요?,"In hash table conflict resolution, each bucket is independent and has some sort of linked list of entries with the same index. The time for hash table operations is the time to find the bucket (which is constant) plus the time for the list operation.

In a good hash table, each bucket has zero or one entries, and sometimes two or three, but rarely more than that. Therefore, structures that are efficient in time and space for these cases are preferred. Structures that are efficient for a fairly large number of entries per bucket are not needed or desirable. If these cases happen often, the hashing function needs to be fixed.","해시 테이블 충돌 해결에서 각 버킷은 독립적이며 동일한 인덱스를 가진 항목들의 연결된 목록을 가지고 있습니다. 해시 테이블 연산의 시간은 버킷을 찾는 시간(일정한)과 목록 연산의 시간을 더한 값입니다.

좋은 해시 테이블에서는 각 버킷에 0개 또는 1개의 항목이 있고 때로는 2~3개이지만 그 이상인 경우는 드뭅니다. 따라서 이러한 경우에 대해 시간과 공간적으로 효율적인 구조가 선호됩니다. 버킷당 상당히 많은 항목에 대해 효율적인 구조는 필요하지도 않고 바람직하지도 않습니다. 이러한 경우가 자주 발생하는 경우 해싱 함수를 수정해야 합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is open addressing?,오픈 어드레싱이란 무엇인가요?,"In hash table conflict resolution, all entry records are stored in the bucket array itself. When a new entry has to be inserted, the buckets are examined, starting with the hashed-to slot and proceeding in some probe sequence, until an unoccupied slot is found. When searching for an entry, the buckets are scanned in the same sequence, until either the target record is found, or an unused array slot is found, which indicates that there is no such key in the table. The name ""open addressing"" refers to the fact that the location (""address"") of the item is not determined by its hash value. (This method is also called closed hashing; it should not be confused with ""open hashing"" or ""closed addressing"" that usually mean separate chaining.)","해시 테이블 충돌 해결에서는 모든 항목 기록이 버킷 배열 자체에 저장됩니다. 새 항목을 삽입해야 할 때, 버킷은 해시된 슬롯부터 시작하여 비어 있는 슬롯이 발견될 때까지 일부 프로브 시퀀스로 진행됩니다. 항목을 검색할 때 버킷은 동일한 시퀀스로 스캔되며, 대상 레코드가 발견되거나 사용되지 않은 배열 슬롯이 발견될 때까지 스캔됩니다. 이는 테이블에 해당 키가 없음을 나타냅니다. ""열린 주소 지정""이라는 이름은 항목의 위치(주소)가 해시 값에 의해 결정되지 않는다는 사실을 의미합니다. (이 방법은 폐쇄 해싱이라고도 하며, 일반적으로 별도의 체인을 의미하는 ""열린 주소 지정""과 혼동해서는 안 됩니다.)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the length of the longest chain in a hash table using separate chaining?,해시 테이블에서 별도의 체인을 사용하는 가장 긴 체인의 길이는 얼마인가요?,"O(1 + alpha) where alpha is the load factor, n/m.","O(1 + 알파) 여기서 알파는 하중 계수, n/m입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Since uniform hashing is difficult to achieve in practice, what is a great alternative?","통일된 해싱은 실제로 달성하기 어렵기 때문에, 어떤 훌륭한 대안이 있을까요?",double hashing,이중 해싱,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you test if a number is odd in bitwise operations?,비트 단위 연산에서 숫자가 홀수인지 어떻게 테스트할 수 있나요?,return (x & 1),return (x & 1),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you test if a number is even in bitwise operations?,숫자가 비트 단위 연산에서도 짝수인지 어떻게 테스트할 수 있나요?,return (x & 1) == 0,return (x & 1) == 0,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What order of node and its children are involved in a preorder traversal?,노드와 그 하위 노드는 어떤 순서로 사전 주문 순회에 참여하나요?,"node
leftChild
rightChild","노드
왼쪽 자식
오른쪽 아이",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What order of node and its children are involved in a postorder traversal?,노드와 그 하위 노드는 어떤 순서로 정렬된 후행에 관여하나요?,"leftChild
rightChild
node","왼쪽 자식
오른쪽 아이
노드",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What order of node and its children are involved in an inorder traversal?,노드와 그 하위 노드는 어떤 순서로 순서가 뒤바뀐 탐색에 관여하나요?,"leftChild
node
rightChild","왼쪽 자식
노드
오른쪽 아이",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is another name for a breadth-first search traversal?,너비 우선 탐색 트래블의 다른 이름은 무엇인가요?,Level-order traversal.,수평 이동.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Code: Compute the power set of a set of integers S.,코드: 정수 집합 S의 거듭제곱 집합을 계산합니다.,How?,어떻게?,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the proper name for Endianness?,엔디안니스의 정식 명칭은 무엇인가요?,octet order,옥텟 순서,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Where can octet order (Endianness) problems crop up in files?,옥텟 오더(엔디안니스) 문제는 파일에서 어디에서 발생할 수 있나요?,"In binary files, if you aren't consistent with choosing an order. Files encoded in utf8 or ASCII don't have this issue.",이진 파일에서는 순서를 선택하는 것이 일관되지 않으면 문제가 없습니다. utf8 또는 ASCII로 인코딩된 파일에는 이 문제가 없습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"What defines a complete binary tree, and give an example?",완전 이진 트리를 정의하고 예를 들어 설명하자면 무엇인가요?,"The same number of nodes at all levels of the tree, except at leaf level where it fills in left to right. A heap stored as an array is an example.",트리의 모든 레벨에서 동일한 수의 노드가 왼쪽에서 오른쪽으로 채워지는 리프 레벨을 제외하고. 배열로 저장된 힙이 하나의 예입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 0-based array, what is parent of i?",0 기반 배열이 있는 힙에서 i의 부모는 무엇인가요?,floor((i-1)/2),바닥((i-1)/2),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 0-based array, what is left child of i?",0 기반 배열이 있는 힙에서 i의 왼쪽 자식은 무엇인가요?,2i + 1,2i + 1,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 0-based array, what is right child of i?",0 기반 배열이 있는 힙에서 i의 오른쪽 자식은 무엇인가요?,2i + 2,2i + 2,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 1-based array, what is right child of i?",1 기반 배열이 있는 더미에서 i의 오른쪽 자식은 무엇인가요?,2i + 1,2i + 1,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 1-based array, what is left child of i?",1 기반 배열이 있는 더미에서 i의 왼쪽 자식은 무엇인가요?,2i,2i,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a heap, with a 0-based array, what is parent of i?",0 기반 배열이 있는 힙에서 i의 부모는 무엇인가요?,floor(i/2),바닥(i/2),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the height of a m-ary heap?,마우리 더미의 높이는 얼마인가요?,log base m of n,로그 기저 m(n),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a 2-3-4 tree?,2-3-4 트리란 무엇인가요?,"2–3–4 tree (also called a 2–4 tree) is a self-balancing data structure that is commonly used to implement dictionaries. The numbers mean a tree where every node with children (internal node) has either two, three, or four child nodes:

- 2-node has one data element, and if internal has two child nodes;
- 3-node has two data elements, and if internal has three child nodes;
- 4-node has three data elements, and if internal has four child nodes.","2-3-4 트리(2-4 트리라고도 함)는 사전을 구현하는 데 일반적으로 사용되는 자가 균형 데이터 구조입니다. 이 숫자는 자식이 있는 모든 노드(내부 노드)에 2개, 3개 또는 4개의 자식 노드가 있는 트리를 의미합니다:

- 2노드는 하나의 데이터 요소를 가지고 있으며, 내부에 두 개의 자식 노드가 있는 경우;
- 3노드에는 두 개의 데이터 요소가 있으며, 내부에 세 개의 자식 노드가 있는 경우;
- 4노드에는 세 개의 데이터 요소가 있으며, 내부에는 네 개의 자식 노드가 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the complexity of all operations on a splay tree?,플레이 트리의 모든 연산의 복잡성은 무엇인가요?,"O(log n) on average.
A single operation Theta(n) in the worst case.","평균적으로 O(로그 n).
최악의 경우 단일 작업 세타(n).",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the maximum height of a red-black tree?,빨강-검정 나무의 최대 높이는 얼마인가요?,2 log n,2 로그 n,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a b-tree, how many children are there per node?",b-트리에서는 노드당 몇 명의 아이들이 있나요?,"root: 1 to 2t-1 keys
non-root: t-1 to 2t-1 keys
t could be up to 100, or more.
There are n keys and n+1 children.
Leaves are all the same level.","루트: 1에서 2t-1 키
non-root: t-1 to 2t-1 keys
t는 최대 100개 또는 그 이상일 수 있습니다.
n개의 키와 n+1명의 아이들이 있습니다.
나뭇잎은 모두 같은 높이입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does the max degree of a b-tree depend on?,b-트리의 최대 차수는 무엇에 따라 달라지나요?,"The number of items being stored, and page size based on disk characteristics.",저장되는 항목의 수와 디스크 특성에 따른 페이지 크기.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
A b-tree's data is organized to correspond with what?,b-트리의 데이터는 무엇과 일치하도록 구성되어 있나요?,Pages on disk.,디스크의 페이지.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Give an example of how a b-tree might be organized.,b-트리가 어떻게 구성될 수 있는지 예를 들어보세요.,"1024 children per node.
Store root in memory.
3 nodes accessed gets us 1024^3 disk pages.
4 nodes accessed gets us 1024^4 disk pages.","노드당 1024명의 어린이.
루트를 메모리에 저장하세요.
3개의 노드에 액세스하면 1024^3개의 디스크 페이지가 표시됩니다.
4개의 노드에 액세스하면 1024^4개의 디스크 페이지가 표시됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"On descending a b-tree, what's the rule?",b-트리를 내려갈 때 규칙은 무엇인가요?,Never step into a minimal node.,절대 최소 노드에 들어가지 마세요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"On insertion in a b-tree, what's the rule?",b-트리에 삽입할 때 규칙은 무엇인가요?,Never step into a full node.,절대로 전체 노드에 들어가지 마세요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many nodes of k leaves are in a compressed trie (big-O)?,압축 트리(big-O)에는 몇 개의 k개의 잎 노드가 있나요?,O(k) nodes with k leaves due to compression.,압축으로 인해 k개의 잎이 있는 O(k) 노드.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a suffix tree?,접미사 트리란 무엇인가요?,"A suffix tree is a compressed trie containing all the suffixes of the given text as their keys and positions in the text as their values. Suffix trees allow particularly fast implementations of many important string operations.

The construction of such a tree for the string S takes time and space linear in the length of S. Once constructed, several operations can be performed quickly, for instance locating a substring in S, locating a substring if a certain number of mistakes are allowed, locating matches for a regular expression pattern etc. Suffix trees also provide one of the first linear-time solutions for the longest common substring problem. These speedups come at a cost: storing a string's suffix tree typically requires significantly more space than storing the string itself.","접미사 트리는 주어진 텍스트의 모든 접미사를 키로, 텍스트 내 위치를 값으로 포함하는 압축 트리입니다. 접미사 트리는 많은 중요한 문자열 작업을 특히 빠르게 구현할 수 있게 해줍니다.

문자열 S의 이러한 트리를 구성하는 데는 S의 길이에 따라 선형적으로 시간과 공간이 소요됩니다. 일단 구성된 후, 여러 작업을 빠르게 수행할 수 있습니다. 예를 들어, S에서 부분 문자열을 찾기, 특정 개수의 실수가 허용되면 부분 문자열을 찾기, 정규 표현식 패턴과 일치하는 부분 문자열을 찾기 등이 있습니다. 접미사 트리는 또한 가장 긴 일반적인 부분 문자열 문제에 대한 최초의 선형 시간 솔루션 중 하나를 제공합니다. 이러한 속도 향상에는 대가가 따릅니다: 문자열의 접미사 트리를 저장하는 것은 일반적으로 문자열 자체를 저장하는 것보다 훨씬 더 많은 공간을 필요로 합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In brief, how does selection sort work?","간단히 말해서, Selection Sort은 어떻게 작동하나요?","Find the minimum item on each pass, past the previous minimum, and swap it into the leftmost position after the previous minimum.","각 패스에서 이전 최소값을 지나 최소값 항목을 찾고, 이전 최소값 다음으로 가장 왼쪽 위치로 전환하세요.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
When can insertion sort run in n log n time?,Insertion Sort은 언제 n 로그 n 시간 내에 실행될 수 있나요?,Load into a binary search tree. Then inorder traversal.,Binary Search Tree에 로드합니다. 그런 다음 순서대로 이동합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you speed up selection sort with a heap?,힙으로 Selection Sort 속도를 높이려면 어떻게 해야 하나요?,Replace the unsorted portion with a min-heap. Gives O(log n) removal. Makes n log n overall.,정렬되지 않은 부분을 미니 힙으로 교체하세요. O(log n) 제거를 제공합니다. 전체적으로 n개의 로그 n을 만듭니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What data structure is well suited for a heap sort and which is bad?,Heap Sort에 적합한 데이터 구조와 나쁜 구조는 무엇인가요?,"Array - good
Linked list - clumsy","배열 - 양호
연결된 목록 - 서투름",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What data structure is well suited for a merge sort and which is just okay?,"Merge Sort에 적합한 데이터 구조는 무엇이며, 어떤 것이 괜찮을까요?","Linked list - a natural
Array does not allow for in-place","연결된 목록 - 자연스러운 목록
배열은 제자리에서 사용할 수 없습니다",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you optimize finding a pivot when the segment to pivot is large (not random choice)?,피벗할 세그먼트가 큰 경우(무작위 선택이 아닌) 피벗을 찾는 것을 최적화하려면 어떻게 해야 하나요?,Choose a median of three.,세 개의 중앙값을 선택하세요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is counting sort?,카운팅이란 무엇인가요?,"Counting sort is an algorithm for sorting a collection of objects according to keys that are small integers; that is, it is an integer sorting algorithm. It operates by counting the number of objects that have each distinct key value, and using arithmetic on those counts to determine the positions of each key value in the output sequence. Its running time is linear in the number of items and the difference between the maximum and minimum key values, so it is only suitable for direct use in situations where the variation in keys is not significantly greater than the number of items. However, it is often used as a subroutine in another sorting algorithm, radix sort, that can handle larger keys more efficiently.","카운팅 정렬은 작은 정수인 키에 따라 객체 모음을 정렬하는 알고리즘, 즉 정수 정렬 알고리즘입니다. 각 키 값이 서로 다른 객체의 수를 세고, 해당 개수에 대한 산술을 사용하여 출력 시퀀스에서 각 키 값의 위치를 결정하는 방식으로 작동합니다. 실행 시간은 항목 수와 최대 키 값과 최소 키 값의 차이가 선형적이므로 키의 변동이 항목 수보다 크게 크지 않은 상황에서만 직접 사용하기에 적합합니다. 그러나 더 큰 키를 더 효율적으로 처리할 수 있는 또 다른 정렬 알고리즘인 래딕스 정렬에서는 하위 루틴으로 자주 사용됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is radix sort?,래딕스 종류란 무엇인가요?,"Radix sort is a non-comparative integer sorting algorithm that sorts data with integer keys by grouping keys by the individual digits which share the same significant position and value. 
Two classifications of radix sorts are least significant digit (LSD) radix sorts and most significant digit (MSD) radix sorts. LSD radix sorts process the integer representations starting from the least digit and move towards the most significant digit. MSD radix sorts work the other way around.","Radix 정렬은 동일한 중요한 위치와 값을 공유하는 개별 숫자로 키를 그룹화하여 정수 키로 데이터를 정렬하는 비교 불가능한 정수 정렬 알고리즘입니다. 
래딕스 정렬의 두 가지 분류는 최소 유효 자릿수(LSD) 래딕스 정렬과 최대 유효 자릿수(MSD) 래딕스 정렬입니다. LSD 래딕스 정렬은 정수 표현을 최소 자릿수에서 시작하여 가장 유효한 자릿수로 이동하는 과정을 처리합니다. MSD 래딕스 정렬은 그 반대로 작동합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the counting sort running time?,카운트 정렬 실행 시간은 어떻게 되나요?,"O(q + n) where q is the number of unique items. If q is in O(n), then linear time.",O(q + n) 여기서 q는 고유 항목의 수입니다. q가 O(n)에 있다면 선형 시간입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What radix is most natural to use?,가장 자연스럽게 사용할 수 있는 라디칼은 무엇인가요?,A power of 2 radix.,2 라디칼의 거듭제곱.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would radix sort work for IEEE floating point numbers?,IEEE 부동 소수점 번호에 대해 라디우스 정렬은 어떻게 작동하나요?,"Flip all bits for negative numbers, do sort, then flip back.",모든 비트를 음수로 바꾸고 정렬한 다음 다시 뒤집습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How to choose q for radix sort?,래딕스 정렬을 위해 q를 선택하는 방법은 무엇인가요?,"Choose q within a power of 2 of n. Ensures the number of passes is small. Best rule is n rounded down to the next power of 2.
To save memory, round sqrt(n) down to the next power of 2. Twice as many passes.","2의 거듭제곱 n 내에서 q를 선택합니다. 통과 횟수가 적을 것을 보장합니다. 가장 좋은 규칙은 다음 2의 거듭제곱 n으로 반올림하는 것입니다.
메모리를 절약하려면 제곱근(n)을 2의 다음 거듭제곱으로 반올림합니다. 패스 수는 두 배입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What operations are a treap optimized for?,트랩은 어떤 작업에 최적화되어 있나요?,"- union
- intersection
- difference","- 연합
- 교차점
- 차이",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the Day–Stout–Warren (DSW) algorithm?,데이-스타우트-워런(DSW) 알고리즘은 무엇인가요?,"The Day–Stout–Warren (DSW) algorithm is a method for efficiently balancing binary search trees — that is, decreasing their height to O(log n) nodes, where n is the total number of nodes. Unlike a self-balancing binary search tree, it does not do this incrementally during each operation, but periodically, so that its cost can be amortized over many operations.","Day–Stout–Warren (DSW) 알고리즘은 Binary Search Tree의 효율적인 균형을 맞추기 위한 방법입니다. 즉, Binary Search Tree의 높이를 O(log n) 노드로 줄이는 것입니다. 여기서 n은 총 노드 수입니다. 자체 균형 Binary Search Tree와 달리, 이는 각 작업 동안 점진적으로 수행되는 것이 아니라 주기적으로 수행되므로 많은 작업에서 비용을 상각할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the insertion sort algorithm?,Insertion Sort 알고리즘이란 무엇인가요?,"for (i = 0; i < n; ++i) {
    j = i;
    while (j > 0 && a[j - 1] > a[j]) {
        swap(a, j, j - 1);
        j -= 1;
    }
}","for (i = 0; i < n; ++i) {
    j = i;
    while (j > 0 && a[j - 1] > a[j]) {
        swap(a, j, j - 1);
        j -= 1;
    }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is radix sort stable?,래딕스는 안정적인가요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the algorithmic time complexity of radix sort?,래딕스 정렬의 알고리즘 time complexity는 무엇인가요?,O(digits),O(숫자),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Give the code for selection sort.,Selection Sort 코드를 입력하세요.,"for (i = 0; i < n; ++i) {
    min_index = i:
    for (j = i; j < n; ++j) {
        if (a[j] < a[min_index]) {
            min_index = j;
        }
    }
    swap(a, i, min_index)
}","for (i = 0; i < n; ++i) {
    min_index = i:
    for (j = i; j < n; ++j) {
        if (a[j] < a[min_index]) {
            min_index = j;
        }
    }
    swap(a, i, min_index)
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
All comparison-based sorting is bounded by what complexity?,모든 비교 기반 정렬은 어떤 복잡성에 의해 제한되나요?,Omega(n log n),오메가(n 로그 n),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"What do you call a linear ordering of a directed graph of its vertices such that for every directed edge uv from vertex u to vertex v, u comes before v in the ordering?",정점 u에서 정점 v로 향하는 모든 방향의 간선 uv에 대해 순서대로 u가 v보다 먼저 오는 방향 그래프의 선형 순서를 뭐라고 부르나요?,Topological sort,위상 정렬,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a good method for performing a topological sort?,위상 정렬을 수행하는 데 좋은 방법은 무엇인가요?,"1. Calculate in-degree for each node. O(v + e)
2. Go through 0s, add to queue.
3. For each item in queue, look at each connection, and decrement in-degree of each, if they got to 0, add to queue, repeat.","1. 각 노드에 대한 차수 내 계산. O(v + e)
2. 0을 통과하여 대기열에 추가하세요.
3. 대기열에 있는 각 항목에 대해 각 연결을 살펴보고, 각 항목의 차수가 0에 도달하면 대기열에 추가하고 반복합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many possible trees are there that span all nodes in a graph?,그래프의 모든 노드에 걸쳐 있는 가능한 트리는 몇 개인가요?,4^n,4^n,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Prim's algorithm?,Prim의 알고리즘은 무엇인가요?,"def prim(self):
    """"""
    Returns a dictionary of parents of vertices in a minimum spanning tree
    :rtype: dict
    """"""
    s = set()
    q = queue.PriorityQueue()
    parents = {}
    start_weight = float(""inf"")
    weights = {}  # since we can't peek into queue

    for i in self.get_vertex():
        weight = start_weight
        if i == 0:
            q.put(([0, i]))
        weights[i] = weight
        parents[i] = None

    while not q.empty():
        v_tuple = q.get()
        vertex = v_tuple[1]

        s.add(vertex)

        for u in self.get_neighbor(vertex):
            if u.vertex not in s:
                if u.weight < weights[u.vertex]:
                    parents[u.vertex] = vertex
                    weights[u.vertex] = u.weight
                    q.put(([u.weight, u.vertex]))

    return parents","def prim(self):
    """"""
    Returns a dictionary of parents of vertices in a minimum spanning tree
    :rtype: dict
    """"""
    s = set()
    q = queue.PriorityQueue()
    parents = {}
    start_weight = float(""inf"")
    weights = {}  # since we can't peek into queue

    for i in self.get_vertex():
        weight = start_weight
        if i == 0:
            q.put(([0, i]))
        weights[i] = weight
        parents[i] = None

    while not q.empty():
        v_tuple = q.get()
        vertex = v_tuple[1]

        s.add(vertex)

        for u in self.get_neighbor(vertex):
            if u.vertex not in s:
                if u.weight < weights[u.vertex]:
                    parents[u.vertex] = vertex
                    weights[u.vertex] = u.weight
                    q.put(([u.weight, u.vertex]))

    return parents",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the time complexity of Prim's algorithm on an adjacency matrix?,인접 행렬에서 Prim 알고리즘의 time complexity는 얼마인가요?,O(v^2),O(v^2),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the time complexity of Prim's algorithm on an adjacency list and a binary heap?,인접 목록과 이진 힙에서 Prim 알고리즘의 time complexity는 얼마인가요?,"O(e log v)
derived from:
O((e + v) log v)","O(로그 v)
다음에서 파생됨:
O((e + v) log v)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the time complexity of Prim's algorithm on an adjacency list and a Fibonacci heap?,인접 목록과 피보나치 힙에서 Prim 알고리즘의 time complexity는 얼마인가요?,O(e + v log v),O(e + v log v),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
